Año,Semana,Ubigeo,P129G,P142A,P172C_1,P172C_2,P129B,P172B_1,P172B_2,P172D,P172G,P908_5,P908_6,P908_7,P908_8,P908_9,P910_1,P910_2,P910_3,P910_4,HV201,HV205,HV213,HV214,HV215,SH49,SH227,HV270,HV225,HV237,SH48,SH50
2021,1,150102,1,1,3,3,1.0,0.6658514492096568,0.9876901878945243,0.46753721854370767,0.14770344697447782,0.8963959953090389,0.02574270557029178,0.2966607579738695,0.7433643923144386,0.13102679969463213,0.12206925315836364,0.04517530462992444,0.07813605159142918,0.16935797782236264,1,1,5,2,1,3,1,2,0.07692307692307693,0.9615384615384616,1.0,1.0
2021,1,150103,1,1,3,3,1.0,0.9545454545454546,0.9545454545454546,0.6363636363636364,0.04545454545454546,0.9047619047619048,0.0,0.09523809523809523,0.8095238095238095,0.0,0.1904761904761905,0.09523809523809523,0.0,0.0,1,1,5,2,1,3,1,3,0.1386138613861386,0.9901960784313726,1.0,0.9923076923076923
2021,1,150104,1,1,3,3,1.0,0.9650702802976575,0.9961797240644686,0.46753721854370767,0.1845957908107575,0.9975757575757576,0.02574270557029178,0.014896331738437003,0.9946853146853146,0.01023807387162253,0.03579544107910473,0.010936212484885731,0.005741626794258373,0.002597402597402596,1,1,2,2,1,3,1,3,0.1111111111111111,1.0,0.9484697471201272,0.9029592624277946
2021,1,70102,1,1,3,2,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,5,2,1,3,1,4,0.05303030303030303,0.9545454545454546,0.9452054794520548,0.8767123287671232
2021,1,150105,1,1,2,3,1.0,1.0,1.0,0.2857142857142857,0.1428571428571428,0.9977272727272727,0.02574270557029178,0.013568010936431984,0.997022977022977,0.023110736843977738,0.0410513394949834,0.007926431979892352,0.0,0.0,1,1,4,2,1,3,0,4,0.1153846153846154,1.0,1.0,0.9565217391304348
2021,1,70101,1,1,3,3,1.0,0.8059701492537313,1.0,0.4626865671641791,0.1791044776119403,0.9230769230769231,0.01538461538461539,0.1692307692307692,0.9076923076923077,0.01538461538461539,0.06153846153846154,0.06153846153846154,0.0,0.0,1,1,5,2,1,3,1,4,0.1053921568627451,0.9853300733496333,0.975103734439834,0.970954356846473
2021,1,150106,1,1,3,3,1.0,0.5402102452210438,0.9776590625244973,0.46753721854370767,0.1308125365794675,0.8978782087477741,0.02574270557029178,0.292611999714585,0.752186295049385,0.13477971344754588,0.1185872658150028,0.04543554604920279,0.07813605159142918,0.17299434145872625,1,1,5,2,2,3,1,2,0.0625,0.9609375,0.8974358974358975,0.8461538461538461
2021,1,70103,1,1,3,3,1.0,1.0,1.0,0.375,0.25,0.875,0.125,0.0,1.0,0.0,0.125,0.0,0.0,0.0,1,1,5,2,1,3,1,3,0.1728395061728395,0.9876543209876543,0.8958333333333334,0.8958333333333334
2021,1,150107,1,1,3,3,1.0,0.5590638461138326,0.995552959690223,0.46753721854370767,0.12430005985845069,0.8935742880308097,0.02574270557029178,0.2539710047324828,0.7262611301741737,0.04977595734829014,0.08728127329303387,0.02812446016326464,0.025244435198668605,0.02302161298461021,1,1,5,2,1,3,1,4,0.06451612903225806,0.9354838709677419,0.8888888888888888,0.8888888888888888
2021,1,150108,1,1,3,3,1.0,0.8,1.0,0.3333333333333333,0.0,0.8666666666666667,0.0,0.2666666666666667,0.8,0.0,0.0,0.0,0.0,0.0,1,1,5,2,1,3,1,4,0.136986301369863,1.0,0.9642857142857143,0.9285714285714286
2021,1,150109,1,1,3,3,1.0,0.5972593652557234,0.9927202085243502,0.46753721854370767,0.12719195174276895,0.8708336952902171,0.02574270557029178,0.2861725927641989,0.6886553247862223,0.08458328592242324,0.10473658044550425,0.041320864713899175,0.07023611400041607,0.08705323353796988,1,1,5,2,1,3,1,4,0.07982203831741848,0.978496245971192,0.9888981125775986,0.9769860646342267
2021,1,150110,1,1,2,3,1.0,0.2666666666666667,1.0,0.2666666666666667,0.1333333333333333,0.8666666666666667,0.06666666666666667,0.8,0.1333333333333333,0.5333333333333333,0.3333333333333333,0.0,0.0,0.2,1,1,5,2,1,3,1,2,0.185929648241206,0.9748743718592965,0.9519230769230769,0.9326923076923077
2021,1,150111,1,1,3,3,1.0,0.6287986916446793,0.9954380332207097,0.46753721854370767,0.1309707685002613,0.9939044289044289,0.02574270557029178,0.05369533974797132,0.9903004242134678,0.007469176102724759,0.05061082092527391,0.011865375835931018,0.006698564593301435,0.0,1,1,5,2,1,3,0,3,0.2121212121212121,1.0,1.0,1.0
2021,1,150112,1,1,2,3,1.0,1.0,1.0,0.625,0.375,1.0,0.0,0.125,1.0,0.25,0.125,0.0,0.0,0.0,1,1,4,2,1,3,1,4,0.09090909090909091,1.0,1.0,1.0
2021,1,150113,1,1,3,3,1.0,1.0,1.0,0.1428571428571428,0.2857142857142857,1.0,0.1666666666666667,0.0,1.0,0.1666666666666667,0.1666666666666667,0.0,0.0,0.0,1,1,2,2,1,3,0,4,0.0,1.0,0.8125,0.8125
2021,1,150114,1,1,3,3,1.0,0.607961293642817,0.9970705667980685,0.46753721854370767,0.1189722116878987,0.97636399832052,0.02574270557029178,0.08950415579194972,0.9548349476610347,0.024018733645937394,0.0767743530205534,0.021206952981135525,0.010526315789473684,0.0015473887814313346,1,1,4,2,1,3,1,4,0.0,1.0,0.9285714285714286,0.9285714285714286
2021,1,70104,1,1,3,3,1.0,1.0,1.0,0.2,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,5,2,1,3,1,4,0.03370786516853932,0.9325842696629213,0.9347826086956522,0.9130434782608695
2021,1,70105,1,1,3,3,1.0,1.0,1.0,0.7142857142857143,0.2857142857142857,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2,2,1,3,5,4,0.0,1.0,0.8,0.6
2021,1,150115,1,1,3,3,1.0,0.875,1.0,0.75,0.0,0.875,0.125,0.125,0.75,0.0,0.125,0.0,0.0,0.0,1,1,5,2,1,3,1,2,0.4150943396226415,0.9622641509433962,0.9615384615384616,0.9615384615384616
2021,1,150101,1,1,3,3,1.0,1.0,1.0,0.2857142857142857,0.0,1.0,0.0,0.1428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,1,1,4,2,1,3,2,4,0.02469135802469136,0.9876543209876543,1.0,0.9444444444444444
2021,1,150116,1,1,3,3,1.0,1.0,1.0,0.0,0.125,1.0,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0,1,1,2,2,1,3,2,4,0.0,1.0,0.9565217391304348,0.9565217391304348
2021,1,150117,1,1,3,3,1.0,0.8,1.0,0.6666666666666666,0.06666666666666667,1.0,0.0,0.1428571428571428,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,1,1,4,2,1,3,1,4,0.144578313253012,0.9940119760479041,0.9838709677419355,0.967741935483871
2021,1,150118,1,1,3,3,1.0,1.0,1.0,0.625,0.0,0.75,0.0,0.875,0.0,0.75,0.125,0.0,0.375,0.75,1,1,5,2,1,3,3,2,0.116504854368932,0.9904761904761905,1.0,1.0
2021,1,150119,1,1,3,3,1.0,0.6032048429438973,0.9931376504231806,0.46753721854370767,0.13067408251226087,0.8457362926928144,0.02574270557029178,0.37636073795234415,0.5538447452947918,0.08683736517650252,0.10314267164383051,0.04146792353742859,0.09547014770126899,0.1400512993019931,1,1,5,2,2,3,3,1,0.06666666666666667,1.0,1.0,1.0
