id,fecha,province,district,lat,lon,amenity
4591747366,05/01/2020,Lima,Santiago de Surco,-12.1359780,-76.9863252,waste_basket
4637902951,05/01/2020,Lima,Jesús María,-12.0865058,-77.0532582,waste_disposal
4677196190,05/01/2020,Lima,Lima,-12.0526126,-77.0832230,waste_basket
4702613232,05/01/2020,Lima,Lima,-12.0462346,-77.0302297,waste_basket
4709140542,05/01/2020,Lima,Lima,-12.0370195,-77.0804586,waste_basket
4709140574,05/01/2020,Lima,Los Olivos,-11.9969004,-77.0788308,waste_basket
4710380348,05/01/2020,Callao,Carmen de la Legua Reynoso,-12.0378874,-77.0849865,waste_basket
4710754802,05/01/2020,Callao,Carmen de la Legua Reynoso,-12.0411064,-77.0854950,recycling
4719574888,05/01/2020,Callao,Carmen de la Legua Reynoso,-12.0394300,-77.0910591,waste_basket
4721235172,05/01/2020,Lima,Lima,-12.0376471,-77.0802584,waste_basket
4730016454,05/01/2020,Lima,Lima,-12.0578169,-77.0813299,recycling
5032660388,05/01/2020,Lima,Miraflores,-12.1301817,-77.0333151,waste_basket
5032660389,05/01/2020,Lima,Miraflores,-12.1303718,-77.0329640,waste_basket
5054954723,05/01/2020,Callao,,-11.9852618,-77.1258264,waste_basket
5065432236,05/01/2020,Lima,Miraflores,-12.1303068,-77.0261549,waste_basket
5161630592,05/01/2020,Lima,Lima,-12.0653373,-77.0357062,waste_basket
5204796400,05/01/2020,Callao,La Punta,-12.0694052,-77.1629344,waste_basket
5204797936,05/01/2020,Callao,La Punta,-12.0679061,-77.1595716,waste_basket
5204798105,05/01/2020,Callao,La Punta,-12.0679394,-77.1596159,waste_basket
5274217117,05/01/2020,Lima,Lima,-12.0663671,-77.0617985,recycling
5274217680,05/01/2020,Lima,Lima,-12.0674394,-77.0645136,recycling
5419439961,05/01/2020,Lima,San Borja,-12.0983831,-77.0102925,waste_basket
5650687126,05/01/2020,Lima,Lima,-12.0452407,-77.0279123,waste_basket
5652514221,05/01/2020,Lima,Miraflores,-12.1231922,-77.0278479,waste_basket
5652514321,05/01/2020,Lima,Miraflores,-12.1233583,-77.0268602,waste_basket
5664281431,05/01/2020,Lima,Barranco,-12.1353507,-77.0223692,recycling
5757289992,05/01/2020,Lima,Magdalena,-12.0986229,-77.0653149,waste_basket
5757289993,05/01/2020,Lima,Magdalena,-12.0987193,-77.0653572,waste_basket
5757746551,05/01/2020,Lima,Magdalena,-12.0977140,-77.0645134,waste_basket
5757820384,05/01/2020,Lima,Magdalena,-12.0968592,-77.0649898,waste_basket
5757842282,05/01/2020,Lima,Magdalena,-12.0958521,-77.0655634,waste_basket
5757842284,05/01/2020,Lima,Magdalena,-12.0979620,-77.0664243,waste_basket
6124391906,05/01/2020,Lima,Jesús María,-12.0695717,-77.0417018,waste_basket
6124392021,05/01/2020,Lima,Jesús María,-12.0694183,-77.0419454,waste_basket
6124392122,05/01/2020,Lima,Jesús María,-12.0688915,-77.0410073,waste_basket
6125962949,05/01/2020,Lima,Jesús María,-12.0680236,-77.0406705,waste_basket
6125967483,05/01/2020,Lima,Jesús María,-12.0688555,-77.0418202,waste_basket
6128863031,05/01/2020,Lima,La Molina,-12.0708252,-76.9682923,waste_basket
6128863041,05/01/2020,Lima,La Molina,-12.0714693,-76.9690150,waste_basket
6129317638,05/01/2020,Lima,Lima,-12.0664251,-77.0750883,waste_basket
6129317745,05/01/2020,Lima,Jesús María,-12.0707119,-77.0431307,waste_basket
6129318827,05/01/2020,Lima,Lima,-12.0660813,-77.0747117,waste_basket
6129319992,05/01/2020,Lima,Lima,-12.0664569,-77.0749551,waste_basket
6129320120,05/01/2020,Lima,Lima,-12.0664870,-77.0746573,waste_basket
6129320297,05/01/2020,Lima,Lima,-12.0663594,-77.0743912,waste_basket
6129324625,05/01/2020,Lima,Jesús María,-12.0695681,-77.0443576,waste_basket
6297696186,05/01/2020,Lima,Miraflores,-12.1279162,-77.0347675,waste_basket
6297791486,05/01/2020,Lima,Miraflores,-12.1278861,-77.0346603,waste_basket
6302692304,05/01/2020,Lima,Lima,-12.0379145,-77.0818591,waste_basket
6302692308,05/01/2020,Lima,Lima,-12.0377268,-77.0806807,waste_basket
6302692654,05/01/2020,Lima,Lima,-12.0378058,-77.0806664,waste_basket
6365128685,05/01/2020,Cañete,,-13.2398302,-76.3001596,waste_disposal
7058325556,05/01/2020,Lima,Barranco,-12.1465743,-77.0181477,waste_basket
6711242572,05/01/2020,Lima,San Juan de Miraflores,-12.1867520,-76.9656286,
4341628411,05/01/2020,Lima,San Juan de Miraflores,-12.1888587,-76.9648413,
4341628412,05/01/2020,Lima,San Juan de Miraflores,-12.1891053,-76.9645403,
4341628413,05/01/2020,Lima,San Juan de Miraflores,-12.1891722,-76.9643417,
4341628414,05/01/2020,Lima,San Juan de Miraflores,-12.1891345,-76.9637637,
4341628416,05/01/2020,Lima,San Juan de Miraflores,-12.1879842,-76.9643792,
4613253200,05/01/2020,Lima,San Juan de Miraflores,-12.1864886,-76.9649705,
4613253201,05/01/2020,Lima,San Juan de Miraflores,-12.1884846,-76.9641601,
4754593915,05/01/2020,Lima,Lurigancho,-11.9812218,-76.9002043,
4754593916,05/01/2020,Lima,Lurigancho,-11.9812845,-76.9003403,
4754594022,05/01/2020,Lima,Lurigancho,-11.9811805,-76.9001101,
4754594034,05/01/2020,Lima,Lurigancho,-11.9809535,-76.9002097,
4754594035,05/01/2020,Lima,Lurigancho,-11.9810137,-76.9003129,
4754594036,05/01/2020,Lima,Lurigancho,-11.9810469,-76.9003760,
4754594037,05/01/2020,Lima,Lurigancho,-11.9810831,-76.9004392,
4754594038,05/01/2020,Lima,Lurigancho,-11.9811765,-76.9006287,
4754594039,05/01/2020,Lima,Lurigancho,-11.9813739,-76.9005393,
4334021192,05/01/2020,Lima,Puente Piedra,-11.8821594,-77.0733577,
4334021193,05/01/2020,Lima,Puente Piedra,-11.8821412,-77.0732779,
4334021194,05/01/2020,Lima,Puente Piedra,-11.8823301,-77.0732329,
4334021195,05/01/2020,Lima,Puente Piedra,-11.8823484,-77.0733127,
4343549638,05/01/2020,Lima,Carabayllo,-11.8872607,-77.0248409,
4343549639,05/01/2020,Lima,Carabayllo,-11.8871054,-77.0247467,
2941223402,05/01/2020,Lima,Carabayllo,-11.8876302,-77.0242411,
5960501494,05/01/2020,Lima,Carabayllo,-11.8872965,-77.0244504,
5960501495,05/01/2020,Lima,Carabayllo,-11.8875287,-77.0241232,
5434317064,05/01/2020,Lima,Santiago de Surco,-12.1536544,-77.0115798,
5434317062,05/01/2020,Lima,Santiago de Surco,-12.1531154,-77.0116073,
5434317063,05/01/2020,Lima,Santiago de Surco,-12.1535825,-77.0117815,
5434317065,05/01/2020,Lima,Santiago de Surco,-12.1531872,-77.0114056,
817805406,12/01/2020,Lima,Rímac,-12.0155894,-77.0503976,recycling
2945206426,12/01/2020,Lima,Santiago de Surco,-12.1394877,-77.0029782,waste_basket
2945206429,12/01/2020,Lima,Santiago de Surco,-12.1394119,-76.9996120,recycling
3084074789,12/01/2020,Lima,San Isidro,-12.0940667,-77.0472157,waste_basket
3637902643,12/01/2020,Lima,Santiago de Surco,-12.1351523,-77.0082325,recycling
3840334419,12/01/2020,Callao,Carmen de la Legua Reynoso,-12.0431655,-77.0957980,waste_basket
3840378353,12/01/2020,Callao,Carmen de la Legua Reynoso,-12.0377743,-77.0863927,waste_basket
4005052813,12/01/2020,Lima,Los Olivos,-11.9776869,-77.0737569,recycling
4017389867,12/01/2020,Callao,,-12.0210614,-77.1085826,waste_basket
