,Año,Semana,Ubigeo,Casos
227,2021,5,150123,0.0
228,2021,5,150124,0.0
229,2021,5,150121,0.0
230,2021,5,150125,0.0
231,2021,5,150126,0.0
232,2021,5,150127,0.0
233,2021,5,150128,0.0
234,2021,5,150129,0.0
235,2021,5,150130,0.0
236,2021,5,150131,0.0
237,2021,5,150132,0.0
238,2021,5,150133,0.0
239,2021,5,150134,0.0
240,2021,5,150135,0.0
241,2021,5,150136,0.0
242,2021,5,150137,0.0
243,2021,5,150138,0.0
244,2021,5,150139,0.0
245,2021,5,150140,0.0
246,2021,5,150141,0.0
247,2021,5,70106,0.0
248,2021,5,150142,0.0
249,2021,5,150143,0.0
250,2021,6,150102,0.0
251,2021,6,150103,0.0
252,2021,6,150104,0.0
253,2021,6,70102,0.0
254,2021,6,150105,0.0
255,2021,6,70101,0.0
256,2021,6,150106,0.0
257,2021,6,70103,0.0
258,2021,6,150107,0.0
259,2021,6,150108,0.0
260,2021,6,150109,0.0
261,2021,6,150110,0.0
262,2021,6,150111,0.0
263,2021,6,150112,0.0
264,2021,6,150113,0.0
265,2021,6,150114,0.0
266,2021,6,70104,0.0
267,2021,6,70105,0.0
268,2021,6,150115,0.0
269,2021,6,150101,1.0
270,2021,6,150116,0.0
271,2021,6,150117,0.0
272,2021,6,150118,1.0
273,2021,6,150119,0.0
274,2021,6,150120,0.0
275,2021,6,70107,0.0
276,2021,6,150122,0.0
277,2021,6,150123,0.0
278,2021,6,150124,0.0
279,2021,6,150121,0.0
280,2021,6,150125,0.0
281,2021,6,150126,0.0
282,2021,6,150127,0.0
283,2021,6,150128,0.0
284,2021,6,150129,0.0
285,2021,6,150130,0.0
286,2021,6,150131,0.0
287,2021,6,150132,0.0
288,2021,6,150133,0.0
289,2021,6,150134,0.0
290,2021,6,150135,0.0
291,2021,6,150136,0.0
292,2021,6,150137,0.0
293,2021,6,150138,0.0
294,2021,6,150139,0.0
295,2021,6,150140,0.0
296,2021,6,150141,0.0
297,2021,6,70106,0.0
298,2021,6,150142,0.0
299,2021,6,150143,0.0
300,2021,7,150102,0.0
301,2021,7,150103,0.0
