Año,Semana,Ubigeo,casos,pluvio_min,pluvio_max,presión,viento_min,viento_max,temp_min,temp_max,humedad,agua_procedencia_1,conexión_sanitario_1,satisf_barrido,satisf_basura,agua_potable,barrido_calle,basura_recolec,separacion_basura,informacion_basura,pistas_asfaltadas,pistas_empedradas,pistas_tierra,veredas_concreto,escaleras_concreto,exposicion_basurales,exposicion_inundaciones,exposicion_precipicios,exposicion_deslizamientos,agua_procedencia_2,conexión_sanitario_2,vivienda_piso,vivienda_pared,vivienda_techo,tipo_envase,prueba_cloro,indice_riqueza,sanitario_compartido,purificacion_agua,conserva_agua,tapa_agua
2021,1,150102,0.0,0.0,0.0,1012.0,3.0,11.0,20.0,24.0,19.0,1,1,3,3,1.0,0.6658514492096568,0.9876901878945245,0.4675372185437076,0.1477034469744778,0.8963959953090389,0.0257427055702917,0.2966607579738695,0.7433643923144386,0.1310267996946321,0.1220692531583636,0.0451753046299244,0.0781360515914291,0.1693579778223626,1,1,5,2,1,3,1,2,0.0769230769230769,0.9615384615384616,1.0,1.0
2021,1,150103,0.0,0.0,0.0,1015.0,3.0,13.0,18.0,24.0,18.0,1,1,3,3,1.0,0.9545454545454546,0.9545454545454546,0.6363636363636364,0.0454545454545454,0.9047619047619048,0.0,0.0952380952380952,0.8095238095238095,0.0,0.1904761904761905,0.0952380952380952,0.0,0.0,1,1,5,2,1,3,1,3,0.1386138613861386,0.9901960784313726,1.0,0.9923076923076924
2021,1,150104,0.0,0.0,0.0,1012.0,9.0,11.0,19.33333333333333,24.0,19.0,1,1,3,3,1.0,0.9650702802976576,0.9961797240644686,0.4675372185437076,0.1845957908107575,0.9975757575757576,0.0257427055702917,0.014896331738437,0.9946853146853146,0.0102380738716225,0.0357954410791047,0.0109362124848857,0.0057416267942583,0.0025974025974025,1,1,2,2,1,3,1,3,0.1111111111111111,1.0,0.9484697471201272,0.9029592624277946
2021,1,70102,0.0,0.0,0.0,1012.0,12.0,12.0,20.0,22.0,19.0,1,1,3,2,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,5,2,1,3,1,4,0.053030303030303,0.9545454545454546,0.9452054794520548,0.8767123287671232
2021,1,150105,0.0,0.0,0.0,1013.0,9.0,12.0,20.0,24.0,19.0,1,1,2,3,1.0,1.0,1.0,0.2857142857142857,0.1428571428571428,0.9977272727272728,0.0257427055702917,0.0135680109364319,0.997022977022977,0.0231107368439777,0.0410513394949834,0.0079264319798923,0.0,0.0,1,1,4,2,1,3,0,4,0.1153846153846154,1.0,1.0,0.9565217391304348
2021,1,70101,0.0,0.0,0.0,1013.0,11.0,12.0,21.0,22.0,17.75,1,1,3,3,1.0,0.8059701492537313,1.0,0.4626865671641791,0.1791044776119403,0.9230769230769232,0.0153846153846153,0.1692307692307692,0.9076923076923076,0.0153846153846153,0.0615384615384615,0.0615384615384615,0.0,0.0,1,1,5,2,1,3,1,4,0.1053921568627451,0.9853300733496332,0.975103734439834,0.970954356846473
2021,1,150106,0.0,0.0,0.0,1015.0,2.0,12.0,20.0,25.0,18.0,1,1,3,3,1.0,0.5402102452210438,0.9776590625244972,0.4675372185437076,0.1308125365794675,0.8978782087477741,0.0257427055702917,0.292611999714585,0.752186295049385,0.1347797134475458,0.1185872658150028,0.0454355460492027,0.0781360515914291,0.1729943414587262,1,1,5,2,2,3,1,2,0.0625,0.9609375,0.8974358974358975,0.8461538461538461
2021,1,70103,0.0,0.0,0.0,1012.0,10.0,12.0,21.0,23.0,19.0,1,1,3,3,1.0,1.0,1.0,0.375,0.25,0.875,0.125,0.0,1.0,0.0,0.125,0.0,0.0,0.0,1,1,5,2,1,3,1,3,0.1728395061728395,0.9876543209876544,0.8958333333333334,0.8958333333333334
2021,1,150107,0.0,0.0,0.0,1014.0,2.0,13.0,17.0,23.0,15.0,1,1,3,3,1.0,0.5590638461138326,0.995552959690223,0.4675372185437076,0.1243000598584506,0.8935742880308097,0.0257427055702917,0.2539710047324828,0.7262611301741737,0.0497759573482901,0.0872812732930338,0.0281244601632646,0.0252444351986686,0.0230216129846102,1,1,5,2,1,3,1,4,0.064516129032258,0.935483870967742,0.8888888888888888,0.8888888888888888
2021,1,150108,0.0,0.0,0.0,1013.0,9.0,11.0,20.0,23.0,20.0,1,1,3,3,1.0,0.8,1.0,0.3333333333333333,0.0,0.8666666666666667,0.0,0.2666666666666667,0.8,0.0,0.0,0.0,0.0,0.0,1,1,5,2,1,3,1,4,0.136986301369863,1.0,0.9642857142857144,0.9285714285714286
