Año,Mes,Semana del mes,Semana,Ubigeo,P129G,P142A,P172C_1,P172C_2,P129B,P172B_1,P172B_2,P172D,P172G,P908_5,P908_6,P908_7,P908_8,P908_9,P910_1,P910_2,P910_3,P910_4
2021,1,1,1,150134,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.4545454545454545,0.1818181818181818,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,150135,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.45,0.1,1.0,0.0,0.1052631578947368,1.0,0.0,0.2631578947368421,0.05263157894736842,0.0,0.0
2021,1,1,1,150136,,,,,,,,,,,,,,,,,,
2021,1,1,1,150137,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.1428571428571428,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,150138,,,,,,,,,,,,,,,,,,
2021,1,1,1,150139,,,,,,,,,,,,,,,,,,
2021,1,1,1,150140,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.7142857142857143,0.2857142857142857,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,150141,1.0,1.0,3.0,3.0,1.0,0.75,1.0,0.375,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,70106,1.0,1.0,3.0,3.0,1.0,0.7708333333333334,0.9791666666666666,0.6666666666666666,0.1875,0.4042553191489361,0.0,0.851063829787234,0.148936170212766,0.0,0.1063829787234043,0.06382978723404255,0.0,0.0851063829787234
2021,1,1,1,150142,1.0,1.0,,3.0,1.0,0.0,1.0,0.625,0.0625,0.5625,0.1875,0.375,0.5,0.0,0.0625,0.0625,0.0,0.0
2021,1,1,1,150143,1.0,1.0,,3.0,1.0,0.0,1.0,0.45,0.2,1.0,0.0,0.05263157894736842,1.0,0.0,0.1052631578947368,0.0,0.05263157894736842,0.0
2021,1,2,2,150102,,,,,,,,,,,,,,,,,,
2021,1,2,2,150103,,,,,,,,,,,,,,,,,,
2021,1,2,2,150104,,,,,,,,,,,,,,,,,,
2021,1,2,2,70102,,,,,,,,,,,,,,,,,,
2021,1,2,2,150105,,,,,,,,,,,,,,,,,,
2021,1,2,2,70101,,,,,,,,,,,,,,,,,,
2021,1,2,2,150106,,,,,,,,,,,,,,,,,,
2021,1,2,2,70103,,,,,,,,,,,,,,,,,,
2021,1,2,2,150107,,,,,,,,,,,,,,,,,,
2021,1,2,2,150108,,,,,,,,,,,,,,,,,,
2021,1,2,2,150109,,,,,,,,,,,,,,,,,,
2021,1,2,2,150110,,,,,,,,,,,,,,,,,,
2021,1,2,2,150111,,,,,,,,,,,,,,,,,,
2021,1,2,2,150112,,,,,,,,,,,,,,,,,,
2021,1,2,2,150113,,,,,,,,,,,,,,,,,,
2021,1,2,2,150114,,,,,,,,,,,,,,,,,,
2021,1,2,2,70104,,,,,,,,,,,,,,,,,,
2021,1,2,2,70105,,,,,,,,,,,,,,,,,,
2021,1,2,2,150115,,,,,,,,,,,,,,,,,,
2021,1,2,2,150101,,,,,,,,,,,,,,,,,,
2021,1,2,2,150116,,,,,,,,,,,,,,,,,,
2021,1,2,2,150117,,,,,,,,,,,,,,,,,,
2021,1,2,2,150118,,,,,,,,,,,,,,,,,,
2021,1,2,2,150119,,,,,,,,,,,,,,,,,,
2021,1,2,2,150120,,,,,,,,,,,,,,,,,,
2021,1,2,2,70107,,,,,,,,,,,,,,,,,,
2021,1,2,2,150122,,,,,,,,,,,,,,,,,,
2021,1,2,2,150123,,,,,,,,,,,,,,,,,,
2021,1,2,2,150124,,,,,,,,,,,,,,,,,,
2021,1,2,2,150121,,,,,,,,,,,,,,,,,,
2021,1,2,2,150125,,,,,,,,,,,,,,,,,,
2021,1,2,2,150126,,,,,,,,,,,,,,,,,,
2021,1,2,2,150127,,,,,,,,,,,,,,,,,,
2021,1,2,2,150128,,,,,,,,,,,,,,,,,,
2021,1,2,2,150129,,,,,,,,,,,,,,,,,,
2021,1,2,2,150130,,,,,,,,,,,,,,,,,,
2021,1,2,2,150131,,,,,,,,,,,,,,,,,,
2021,1,2,2,150132,,,,,,,,,,,,,,,,,,
2021,1,2,2,150133,,,,,,,,,,,,,,,,,,
2021,1,2,2,150134,,,,,,,,,,,,,,,,,,
2021,1,2,2,150135,,,,,,,,,,,,,,,,,,
2021,1,2,2,150136,,,,,,,,,,,,,,,,,,
2021,1,2,2,150137,,,,,,,,,,,,,,,,,,
