,separacion_basura,exposicion_deslizamientos,exposicion_precipicios,exposicion_inundaciones,informacion_basura,conserva_agua,purificacion_agua,sanitario_compartido,agua_potable,barrido_calle,viento_min,exposicion_basurales,viento_max
350,0.0727402887468061,0.0286035581474159,0.0029212318809916,0.0334280095407264,0.1242541491623652,1.0,0.971124714427016,0.0930987258265933,0.9994848003383396,0.6366322185385028,0.0,0.0781549139185217,11.0
351,0.6634247448979592,0.0111607142857142,0.0,0.0094866071428571,0.0111607142857142,0.9850105211557064,0.9901401755123818,0.1235292796825269,1.0,0.9888392857142856,0.0,0.0069754464285714,12.0
352,0.3613682977367281,0.0064448893188763,0.0009924470259458,0.0272966547156052,0.0920647765974257,0.9321548729190492,0.9806838871187984,0.1467590748748293,0.9999231153359662,0.9278637417417196,5.0,0.0212842593434934,9.0
353,0.4576055722138931,0.0,0.0,0.0,0.1833333333333333,0.9474418101871742,0.9447797228658916,0.0600754095202135,1.0,1.0,8.0,0.0,6.0
354,0.2534655492826426,0.0055035076152558,0.001096724078542,0.0172671511556399,0.0922407342834521,0.9895249384744796,0.9893688824573382,0.0869206291957749,1.0,0.9656647556290197,5.0,0.0301657570985195,9.0
355,0.3997350753888047,0.0118451982109328,0.0,0.0261379686697483,0.0584702191895195,0.9720706057871424,0.9816009777910828,0.1151437023635525,0.9976325757575758,0.9776796233473634,8.0,0.1194905487022117,6.0
356,0.4500892069315679,0.016280081873766,0.0,0.0649038461538461,0.1205357142857142,0.9141456893696824,0.9639652588083478,0.0661045833171519,1.0,0.4575892857142858,6.0,0.0195312499999999,11.0
357,0.5376555319685407,0.0,0.0,0.140625,0.013671875,0.9112561845877658,0.9823827464964524,0.1753460470247566,1.0,1.0,7.0,0.0,7.0
358,0.3511173406001228,0.0189671329721637,0.0072330877149057,0.0234277715644552,0.0894426861451263,0.9049762055104864,0.946589840546473,0.0768211435612587,0.9998669528854666,0.6659331155431043,2.0,0.0232344425889305,14.0
359,0.3398473208197068,0.0,0.0,0.0,0.16875,0.9644958816134048,0.994834204664474,0.1402244473549448,1.0,0.55,5.0,0.0,8.0
360,0.3444250628127593,0.0262308720387373,0.009133570695462,0.0425953961469007,0.0864877309162547,0.9911262988401432,0.9828121219566976,0.056600615408788,0.9994699111408776,0.6279079745753826,1.0,0.0378025232893996,12.0
361,0.4811850189035917,0.0268595041322313,0.0,0.0213068181818182,0.0040465500945179,0.9546664058791772,0.97873016235633,0.1782401905952249,1.0,0.2109375,5.0,0.1350332023982534,12.0
362,0.3085937499999999,0.008166477645731,0.0006934807101254,0.0329169451871657,0.0189970090837737,0.9648577068758272,1.0,0.1914895951809466,1.0,0.3281249999999999,3.0,0.0399774305411273,12.0
363,0.0787190082644627,0.015625,0.0,0.0,0.0077479338842975,0.9934804069902768,0.9951194468476352,0.1134704053220242,0.9857954545454544,0.9147727272727272,5.0,0.01375,10.0
364,0.22734375,0.0,0.0,0.0,0.18828125,0.8501318826098088,1.0,0.0,1.0,1.0,5.0,0.0,9.0
365,0.4944240209006162,0.0004870129870129,0.000410219484215,0.0037321445451458,0.299454746171433,0.9341001710090328,1.0,0.0071093945942054,0.999960990406875,0.975263246695358,2.0,0.0044260757356955,11.0
366,0.0973772321428571,0.0052289731750482,0.0003315686896275,0.0194986064533671,0.0902910643424036,0.9332950171608078,0.9364399283401978,0.0337158849265368,1.0,1.0,8.0,0.0546666966152974,6.0
367,0.3282552315547772,0.0100501782315636,0.0028668289736469,0.0435777174469274,0.0861286150413928,0.8037049204346123,0.9292020560857828,0.0,0.9997795919989872,0.8499188098073226,9.0,0.0414644100878454,5.0
368,0.0175,0.0,0.0,0.0,0.0933265186915888,0.957477827063128,0.9624587153016028,0.3476962123091267,1.0,1.0,4.0,0.0082908163265306,10.0
369,0.1640624999999999,0.0034765705430605,0.0003388400966947,0.0091671714006175,0.0195312499999999,0.9971136842821192,0.9907049369362146,0.0347086092528489,1.0,1.0,5.0,0.0165986319700335,9.0
370,0.3486434514749705,0.0056505991102662,0.001096724078542,0.0303394794143819,0.0882862177810656,0.915026079287962,1.0,0.0,0.9999551332961888,0.9399516237013822,5.0,0.0275231756039489,9.0
371,0.3203125,0.0,0.0,0.0,0.140625,0.9842675016430696,0.9959496480382944,0.1441786886008675,1.0,1.0,5.0,0.0,9.0
372,0.332254837013838,0.0305169721862524,0.0091215662253333,0.045101833920012,0.0865066163008524,1.0,0.993087735812634,0.1140710299194702,0.99926649483168,0.5990541737281346,1.0,0.0601032099147434,14.0
373,0.3943458422105561,0.0149720228748588,0.0082371440396904,0.0515770406825366,0.0916854416379921,1.0,1.0,0.0669267599981685,0.9652777777777776,0.6073773100133132,2.0,0.0319347961850828,9.0
374,0.916398220600999,0.0,0.0005368954310656,0.001319884503876,0.0141231376867894,0.9878780605181308,0.9946336623805188,0.0,0.9999811885047512,0.9889877859793887,6.0,0.1726793093270366,8.0
375,0.3386381877234817,0.0125419739889744,0.001686759043577,0.0293456191503995,0.0858253387505237,0.937185561987938,0.96538453989883,0.1144570843108416,0.9999624907959414,0.7810398835799977,5.0,0.0562098320010887,8.0
376,0.3101871514014607,0.0052406576104294,0.0003522739110211,0.01160602445996,0.0523371329117769,0.812950128489607,0.9673756479150604,0.0315309316458407,1.0,0.9753373596247192,5.0,0.0135308665588585,9.0
377,0.3828259411956449,0.0270468953007423,0.0084686107576354,0.0380816494130812,0.0862747681552929,1.0,0.980969127950452,0.0708100752033112,0.9996774440835696,0.593239181285953,1.0,0.0416757939445349,10.0
378,0.3883285282373002,0.0135424453226012,0.007415453715821,0.023176189340962,0.0859583105112746,1.0,1.0,0.0263705372419966,0.9996920970108172,0.5764461174448267,4.0,0.0271984535639386,10.0
379,0.4208680680052094,0.0064808970215447,0.0003770105049627,0.018048128342246,0.0922407342834521,0.986958610575426,0.9949986142432518,0.0231415450304133,1.0,0.9707603342504798,6.0,0.0182804448316427,8.0
380,0.3454137731481481,0.0,0.0,0.0,0.1401909722222222,0.9874126515577792,0.9830386564774974,0.1678078056343984,1.0,0.5763046408626998,5.0,0.10546875,9.0
381,0.3915741516681439,0.0281766979364597,0.0091767323056091,0.0386930800563208,0.0878626243457077,0.9807276967911536,0.9812873489980942,0.0886180148465777,0.9995584824669655,0.5611682301358452,1.0,0.039458127046305,9.0
382,0.3915741516681439,0.0281766979364597,0.0091767323056091,0.0386930800563208,0.0882460746940262,0.9800009951767744,0.9804621737394408,0.0904431901241953,0.999763026268332,0.5599544993410215,2.0,0.039458127046305,9.0
383,0.1577308053922171,0.0042027212077911,0.0003477750445357,0.0100508858973488,0.0585937499999999,0.9908191502551258,0.9775428923554066,0.1159381168073545,1.0,1.0,4.0,0.0395846084415855,11.0
384,0.3980723636604536,0.014294638132212,0.0072330877149057,0.0238996224432822,0.0887568243185621,0.9614119499150168,0.8667838956531634,0.0,0.999737756835225,0.5714588437156437,2.0,0.0318646443430283,10.0
385,0.5556667091921045,0.0004870129870129,0.0006455208699859,0.0012387832198995,0.1381823759007527,0.8050110290895797,1.0,0.1000903961130708,0.9999828667692972,0.9862084051077468,3.0,0.0056541469893742,10.0
386,0.2720869384435302,0.0052497534999921,0.0003401994300361,0.0116730275336731,0.1011693057120235,0.9581484220907298,0.9806838871187984,0.0,1.0,0.9654432836957536,5.0,0.0135608675171748,9.0
387,0.4823660714285714,0.1414128151260504,0.0372833125597177,0.189032130957025,0.0352678571428571,0.9908583576212534,0.9906173892130796,0.1254370765414993,1.0,0.2753453577672327,3.0,0.1467802398737273,14.0
388,0.2784468179834679,0.0,0.0,0.0,0.1408421855270852,0.9600380643166108,0.9870239161131172,0.0636856564380847,1.0,1.0,3.0,0.0,9.0
389,0.3323634197227053,0.00563640685045,0.001096724078542,0.0168615747178454,0.0855327330750535,0.989522183672492,0.9918588815459456,0.2247395457943529,0.9999828667692972,0.9472596206056256,3.0,0.0224029008872381,11.0
