Año,Provincia,Distrito,Mes,Casos
2021,LIMA,SAN JUAN DE MIRAFLORES,Setiembre,1.0
2021,LIMA,SAN LUIS,Abril,1.0
2021,LIMA,SAN MARTIN DE PORRES,Abril,1.0
2021,LIMA,SANTA ANITA,Mayo,1.0
2021,LIMA,SANTIAGO DE SURCO,Abril,2.0
2021,LIMA,SANTIAGO DE SURCO,Marzo,1.0
2021,LIMA,SANTIAGO DE SURCO,Mayo,1.0
2021,LIMA,VILLA MARIA DEL TRIUNFO,Abril,41.0
2021,LIMA,VILLA MARIA DEL TRIUNFO,Marzo,3.0
2021,LIMA,VILLA MARIA DEL TRIUNFO,Mayo,9.0
2022,CALLAO,CALLAO,Diciembre,1.0
2022,CALLAO,CALLAO,Mayo,1.0
2022,CALLAO,LA PERLA,Abril,1.0
2022,CALLAO,LA PERLA,Mayo,1.0
2022,CALLAO,VENTANILLA,Julio,1.0
2022,CALLAO,VENTANILLA,Mayo,2.0
2022,CALLAO,VENTANILLA,Noviembre,1.0
2022,CAÑETE,MALA,Mayo,3.0
2022,CAÑETE,NUEVO IMPERIAL,Abril,1.0
2022,CAÑETE,NUEVO IMPERIAL,Mayo,3.0
2022,HUAROCHIRI,RICARDO PALMA,Abril,4.0
2022,HUAROCHIRI,SAN ANTONIO,Mayo,2.0
2022,LIMA,ANCON,Abril,1.0
2022,LIMA,ATE,Abril,9.0
2022,LIMA,ATE,Junio,6.0
2022,LIMA,ATE,Marzo,7.0
2022,LIMA,ATE,Mayo,69.0
2022,LIMA,ATE,Octubre,1.0
2022,LIMA,CARABAYLLO,Abril,5.0
2022,LIMA,CARABAYLLO,Junio,2.0
2022,LIMA,CARABAYLLO,Marzo,2.0
2022,LIMA,CARABAYLLO,Mayo,8.0
2022,LIMA,CHACLACAYO,Abril,2.0
2022,LIMA,CHACLACAYO,Agosto,1.0
2022,LIMA,CHACLACAYO,Julio,1.0
2022,LIMA,CHORRILLOS,Marzo,1.0
2022,LIMA,CHORRILLOS,Mayo,1.0
2022,LIMA,CHORRILLOS,Octubre,1.0
2022,LIMA,CIENEGUILLA,Abril,8.0
2022,LIMA,CIENEGUILLA,Mayo,8.0
2022,LIMA,COMAS,Abril,111.0
2022,LIMA,COMAS,Enero,3.0
2022,LIMA,COMAS,Febrero,3.0
2022,LIMA,COMAS,Julio,1.0
2022,LIMA,COMAS,Junio,8.0
2022,LIMA,COMAS,Marzo,43.0
2022,LIMA,COMAS,Mayo,76.0
2022,LIMA,COMAS,Noviembre,1.0
2022,LIMA,INDEPENDENCIA,Abril,12.0
2022,LIMA,INDEPENDENCIA,Agosto,1.0
2022,LIMA,INDEPENDENCIA,Diciembre,1.0
2022,LIMA,INDEPENDENCIA,Enero,1.0
2022,LIMA,INDEPENDENCIA,Febrero,1.0
2022,LIMA,INDEPENDENCIA,Julio,3.0
2022,LIMA,INDEPENDENCIA,Junio,1.0
2022,LIMA,INDEPENDENCIA,Marzo,1.0
2022,LIMA,INDEPENDENCIA,Mayo,11.0
2022,LIMA,INDEPENDENCIA,Noviembre,1.0
2022,LIMA,LA MOLINA,Abril,9.0
2022,LIMA,LA MOLINA,Marzo,4.0
2022,LIMA,LA MOLINA,Mayo,10.0
2022,LIMA,LIMA,Mayo,3.0
2022,LIMA,LIMA,Octubre,1.0
2022,LIMA,LOS OLIVOS,Abril,5.0
2022,LIMA,LOS OLIVOS,Marzo,2.0
2022,LIMA,LOS OLIVOS,Mayo,5.0
2022,LIMA,LOS OLIVOS,Setiembre,1.0
2022,LIMA,LURIGANCHO,Abril,15.0
2022,LIMA,LURIGANCHO,Agosto,1.0
2022,LIMA,LURIGANCHO,Febrero,3.0
2022,LIMA,LURIGANCHO,Julio,3.0
2022,LIMA,LURIGANCHO,Junio,9.0
2022,LIMA,LURIGANCHO,Marzo,13.0
2022,LIMA,LURIGANCHO,Mayo,42.0
2022,LIMA,PACHACAMAC,Abril,42.0
2022,LIMA,PACHACAMAC,Junio,3.0
2022,LIMA,PACHACAMAC,Marzo,6.0
2022,LIMA,PACHACAMAC,Mayo,41.0
2022,LIMA,PUENTE PIEDRA,Abril,32.0
2022,LIMA,PUENTE PIEDRA,Julio,1.0
2022,LIMA,PUENTE PIEDRA,Marzo,3.0
2022,LIMA,PUENTE PIEDRA,Mayo,21.0
2022,LIMA,RIMAC,Abril,1.0
2022,LIMA,RIMAC,Marzo,1.0
2022,LIMA,SAN JUAN DE LURIGANCHO,Abril,72.0
2022,LIMA,SAN JUAN DE LURIGANCHO,Enero,1.0
2022,LIMA,SAN JUAN DE LURIGANCHO,Junio,10.0
2022,LIMA,SAN JUAN DE LURIGANCHO,Marzo,45.0
2022,LIMA,SAN JUAN DE LURIGANCHO,Mayo,64.0
2022,LIMA,SAN JUAN DE MIRAFLORES,Junio,1.0
2022,LIMA,SAN JUAN DE MIRAFLORES,Mayo,1.0
2022,LIMA,SAN MARTIN DE PORRES,Abril,10.0
2022,LIMA,SAN MARTIN DE PORRES,Marzo,2.0
2022,LIMA,SAN MARTIN DE PORRES,Mayo,4.0
2022,LIMA,VILLA EL SALVADOR,Abril,2.0
2022,LIMA,VILLA MARIA DEL TRIUNFO,Abril,9.0
2022,LIMA,VILLA MARIA DEL TRIUNFO,Junio,1.0
2022,LIMA,VILLA MARIA DEL TRIUNFO,Marzo,1.0
2022,LIMA,VILLA MARIA DEL TRIUNFO,Mayo,13.0
2023,BARRANCA,PARAMONGA,Mayo,1.0
2023,BARRANCA,SUPE,Mayo,2.0
2023,CAJATAMBO,GORGOR,Marzo,2.0
2023,CALLAO,BELLAVISTA,Agosto,3.0
2023,CALLAO,BELLAVISTA,Diciembre,1.0
2023,CALLAO,BELLAVISTA,Julio,6.0
2023,CALLAO,BELLAVISTA,Junio,25.0
2023,CALLAO,BELLAVISTA,Mayo,14.0
2023,CALLAO,BELLAVISTA,Noviembre,0.0
2023,CALLAO,BELLAVISTA,Octubre,0.0
2023,CALLAO,BELLAVISTA,Setiembre,1.0
2023,CALLAO,CALLAO,Abril,8.0
2023,CALLAO,CALLAO,Agosto,8.0
2023,CALLAO,CALLAO,Diciembre,3.0
2023,CALLAO,CALLAO,Julio,42.0
2023,CALLAO,CALLAO,Junio,149.0
2023,CALLAO,CALLAO,Mayo,42.0
2023,CALLAO,CALLAO,Noviembre,2.0
2023,CALLAO,CALLAO,Octubre,4.0
2023,CALLAO,CALLAO,Setiembre,5.0
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,Abril,1.0
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,Agosto,3.0
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,Diciembre,0.0
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,Julio,4.0
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,Junio,9.0
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,Mayo,3.0
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,Noviembre,0.0
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,Octubre,0.0
2023,CALLAO,CARMEN DE LA LEGUA REYNOSO,Setiembre,0.0
2023,CALLAO,LA PERLA,Abril,0.0
2023,CALLAO,LA PERLA,Agosto,0.0
2023,CALLAO,LA PERLA,Diciembre,0.0
2023,CALLAO,LA PERLA,Julio,2.0
2023,CALLAO,LA PERLA,Junio,6.0
2023,CALLAO,LA PERLA,Mayo,4.0
2023,CALLAO,LA PERLA,Noviembre,0.0
2023,CALLAO,LA PERLA,Octubre,0.0
2023,CALLAO,LA PERLA,Setiembre,0.0
2023,CALLAO,LA PUNTA,Agosto,0.0
2023,CALLAO,LA PUNTA,Diciembre,0.0
2023,CALLAO,LA PUNTA,Julio,0.0
2023,CALLAO,LA PUNTA,Junio,0.0
2023,CALLAO,LA PUNTA,Noviembre,0.0
2023,CALLAO,LA PUNTA,Octubre,0.0
2023,CALLAO,LA PUNTA,Setiembre,0.0
2023,CALLAO,MI PERU,Abril,18.0
2023,CALLAO,MI PERU,Agosto,30.0
2023,CALLAO,MI PERU,Diciembre,26.0
2023,CALLAO,MI PERU,Julio,14.0
2023,CALLAO,MI PERU,Junio,92.0
