Año,Semana,Ubigeo,P129G,P142A,P172C_1,P172C_2,P129B,P172B_1,P172B_2,P172D,P172G,P908_5,P908_6,P908_7,P908_8,P908_9,P910_1,P910_2,P910_3,P910_4
2021,1,150102,1,1,3,3,1.0,0.6658514492096568,0.9876901878945243,0.46753721854370767,0.14770344697447782,0.8963959953090389,0.02574270557029178,0.2966607579738695,0.7433643923144386,0.13102679969463213,0.12206925315836364,0.04517530462992444,0.07813605159142918,0.16935797782236264
2021,1,150103,1,1,3,3,1.0,0.9545454545454546,0.9545454545454546,0.6363636363636364,0.04545454545454546,0.9047619047619048,0.0,0.09523809523809523,0.8095238095238095,0.0,0.1904761904761905,0.09523809523809523,0.0,0.0
2021,1,150104,1,1,3,3,1.0,0.9650702802976575,0.9961797240644686,0.46753721854370767,0.1845957908107575,0.9975757575757576,0.02574270557029178,0.014896331738437003,0.9946853146853146,0.01023807387162253,0.03579544107910473,0.010936212484885731,0.005741626794258373,0.002597402597402596
2021,1,70102,1,1,3,2,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021,1,150105,1,1,2,3,1.0,1.0,1.0,0.2857142857142857,0.1428571428571428,0.9977272727272727,0.02574270557029178,0.013568010936431984,0.997022977022977,0.023110736843977738,0.0410513394949834,0.007926431979892352,0.0,0.0
2021,1,70101,1,1,3,3,1.0,0.8059701492537313,1.0,0.4626865671641791,0.1791044776119403,0.9230769230769231,0.01538461538461539,0.1692307692307692,0.9076923076923077,0.01538461538461539,0.06153846153846154,0.06153846153846154,0.0,0.0
2021,1,150106,1,1,3,3,1.0,0.5402102452210438,0.9776590625244973,0.46753721854370767,0.1308125365794675,0.8978782087477741,0.02574270557029178,0.292611999714585,0.752186295049385,0.13477971344754588,0.1185872658150028,0.04543554604920279,0.07813605159142918,0.17299434145872625
2021,1,70103,1,1,3,3,1.0,1.0,1.0,0.375,0.25,0.875,0.125,0.0,1.0,0.0,0.125,0.0,0.0,0.0
2021,1,150107,1,1,3,3,1.0,0.5590638461138326,0.995552959690223,0.46753721854370767,0.12430005985845069,0.8935742880308097,0.02574270557029178,0.2539710047324828,0.7262611301741737,0.04977595734829014,0.08728127329303387,0.02812446016326464,0.025244435198668605,0.02302161298461021
2021,1,150108,1,1,3,3,1.0,0.8,1.0,0.3333333333333333,0.0,0.8666666666666667,0.0,0.2666666666666667,0.8,0.0,0.0,0.0,0.0,0.0
2021,1,150109,1,1,3,3,1.0,0.5972593652557234,0.9927202085243502,0.46753721854370767,0.12719195174276895,0.8708336952902171,0.02574270557029178,0.2861725927641989,0.6886553247862223,0.08458328592242324,0.10473658044550425,0.041320864713899175,0.07023611400041607,0.08705323353796988
2021,1,150110,1,1,2,3,1.0,0.2666666666666667,1.0,0.2666666666666667,0.1333333333333333,0.8666666666666667,0.06666666666666667,0.8,0.1333333333333333,0.5333333333333333,0.3333333333333333,0.0,0.0,0.2
