Año,Semana,Ubigeo,HV201,HV205,HV213,HV214,HV215,SH49,SH227,HV270,HV225,HV237,SH48,SH50
2022,1,150104,1,1,5,2,1,3,1,4,0.2307692307692308,0.9230769230769231,0.8181818181818182,0.8181818181818182
2022,1,70102,1,1,4,2,1,3,1,3,0.08,0.92,0.9545454545454546,0.9545454545454546
2022,1,150105,1,1,4,2,1,3,2,4,0.0,0.9523809523809523,0.9523809523809523,0.8571428571428571
2022,1,70101,1,1,5,2,1,3,1,3,0.1454183266932271,0.9702380952380952,0.9654377880184332,0.9470046082949308
2022,1,150106,1,1,5,2,1,3,1,3,0.09655172413793103,0.9724137931034482,0.9788732394366197,0.9577464788732394
2022,1,70103,1,1,5,2,1,3,1,4,0.1851851851851852,0.9629629629629629,0.975609756097561,0.975609756097561
2022,1,150107,1,1,5,2,1,3,1,3,0.12905106694434082,0.9897791405960024,0.9739185833691466,0.9653691915800023
2022,1,150108,1,1,5,2,1,3,1,4,0.1666666666666667,0.9761904761904762,0.9711538461538461,0.9711538461538461
2022,1,150109,3,2,5,1,2,3,3,1,0.0,1.0,1.0,1.0
2022,1,150110,1,1,5,2,1,3,1,3,0.1479591836734694,0.9898477157360406,0.971830985915493,0.9577464788732394
2022,1,150111,1,1,5,2,1,3,1,3,0.1403508771929824,1.0,0.851063829787234,0.851063829787234
2022,1,150112,1,1,5,2,1,3,1,2,0.1935483870967742,0.978494623655914,0.971830985915493,0.9577464788732394
2022,1,150113,1,1,2,2,1,3,1,4,0.0,1.0,1.0,1.0
2022,1,150114,1,1,4,2,1,3,1,4,0.04081632653061224,1.0,0.9523809523809523,0.9523809523809523
2022,1,70104,1,1,4,2,1,3,1,4,0.03409090909090909,0.9545454545454546,0.9305555555555556,0.9166666666666666
2022,1,70105,1,1,2,2,1,3,1,4,0.0,0.7142857142857143,0.8571428571428571,0.8571428571428571
2022,1,150115,1,1,4,2,1,3,1,4,0.08955223880597014,0.9701492537313433,0.95,0.9333333333333333
2022,1,150101,1,1,5,2,1,3,1,4,0.09574468085106383,1.0,0.9885057471264368,0.9540229885057471
2022,1,150116,1,1,2,2,1,3,3,4,0.0,1.0,0.8,0.8
2022,1,150117,1,1,4,2,1,3,1,4,0.1290322580645161,1.0,0.9891304347826086,0.9565217391304348
2022,1,150118,1,1,5,2,2,3,3,2,0.1095890410958904,1.0,1.0,0.9696969696969697
2022,1,150119,1,1,5,2,1,3,1,3,0.07692307692307693,1.0,1.0,0.9565217391304348
2022,1,150120,1,1,2,2,1,3,1,4,0.0,0.9714285714285714,0.9333333333333333,0.9333333333333333
2022,1,70107,1,1,5,2,1,3,1,2,0.1730769230769231,0.9903846153846154,0.9857142857142858,0.9857142857142858
2022,1,150122,1,1,2,2,1,3,0,4,0.06060606060606061,1.0,0.8333333333333334,0.7916666666666666
2022,1,150123,1,1,5,2,2,3,3,1,0.06896551724137931,1.0,1.0,1.0
2022,1,150124,1,1,5,2,2,3,1,3,0.125,1.0,1.0,1.0
2022,1,150121,1,1,2,2,1,3,1,4,0.1212121212121212,0.9696969696969697,0.9375,0.9375
2022,1,150125,1,1,5,2,2,3,1,1,0.1327433628318584,0.9824561403508771,1.0,0.9906542056074766
2022,1,150126,1,1,5,2,1,3,1,3,0.0986840586154366,0.9939170315477422,0.9849743349148606,0.9658432777656808
2022,1,150127,1,1,5,2,1,3,1,3,0.0986840586154366,0.9940590770022877,0.985131074726773,0.9669250032281737
2022,1,150128,1,1,5,2,1,3,1,4,0.08,0.96,0.9574468085106383,0.9574468085106383
2022,1,150129,1,1,5,2,1,3,1,2,0.0,1.0,1.0,1.0
2022,1,150130,1,1,2,2,1,3,0,4,0.04166666666666666,1.0,0.8888888888888888,0.8333333333333334
