,Año,Semana,Ubigeo,casos,viento_prom,barrido_calle,separacion_basura,exposicion_basurales,exposicion_precipicios,exposicion_deslizamientos,agua_potable,sanitario_compartido,conserva_agua,purificacion_agua
551,2021,12,150103,4.0,-1.458004614469683,0.8591304347826088,0.5497293411563533,0.0458457106392408,0.0034871939236837,0.0453282802582641,1.0,0.1159485641125161,0.9770115607761926,0.9900616632515926
556,2021,12,150106,10.0,-1.0671900717633664,0.4085493501475297,0.3756428433457343,0.0615301646005186,0.0066749448128037,0.0554658540644047,0.9522500590318772,0.0683235799209246,0.923367338909763,0.9654697003094
568,2021,12,150115,1.0,-1.7098102908942,1.0,0.081,0.0336479722226881,0.0020233267035159,0.0085251219766238,1.0,0.3106499434241946,0.955655740126396,0.9627332628397244
569,2021,12,150101,33.0,-1.4438741519125053,0.79264,0.1384211678371048,0.0573660956361845,0.0017094732718902,0.0280208610192455,1.0,0.0403723982823661,0.995651397673944,0.9922604690406248
571,2021,12,150117,2.0,-1.0983864265285268,1.0,0.1173333333333333,0.0362408041623603,0.0002747285238957,0.011105922762757,1.0,0.1436173663859322,0.984550117374798,0.9968435891113592
572,2021,12,150118,44.0,-1.0554740041019348,0.1873405931598959,0.4354317092447822,0.0818525069927393,0.0154086490074325,0.0597677849284841,0.7054545454545454,0.1129789247909241,1.0,0.9943663383532558
575,2021,12,70107,2.0,-1.277893320341171,0.798544687006731,0.2871466309837422,0.0687998893622483,0.004908005488742,0.0267143220857362,1.0,0.1224940343727832,0.9439777481671436,0.9683498077684772
580,2021,12,150125,12.0,-1.0983864265285268,0.3099237435008665,0.3467169734849977,0.1101636906872033,0.0061612016203403,0.0373967409461769,1.0,0.1637683934160403,0.9891744043416398,0.9830210536000183
587,2021,12,150132,2.0,-1.206574083068807,0.292660118073828,0.345432967032967,0.1138462684777486,0.0304890032076556,0.1022614968099608,1.0,0.1279540618659743,0.9886626264281488,0.990435491332456
595,2021,12,150140,1.0,-1.8427783603850476,0.7746086956521739,0.4252064858659779,0.0382390771908582,0.0015811986259944,0.0254030295328419,1.0,0.0209438823613514,0.9230769230769232,0.9902984782013772
601,2021,13,150103,1.0,-1.3244321446629679,0.8052173913043479,0.4885194787734412,0.0641083288991399,0.0049727434808554,0.0626761406040196,1.0,0.1141701698238358,0.9750846685390812,0.990037193497904
606,2021,13,150106,14.0,-0.9654183570376793,0.4417714602237511,0.3559527303923059,0.0853950109299084,0.0092295533214076,0.0766935266075719,0.9339753902662994,0.0688956774761692,0.92561978434485,0.96582078002162
608,2021,13,150107,1.0,-1.1449252508503236,0.531273102955553,0.3332830387945486,0.0602337523645078,0.0046038553397067,0.0636416176325254,0.9259504132231404,0.0852923210842616,0.9160419348930208,0.9542274754207942
611,2021,13,150110,1.0,-1.1449252508503236,0.0667272727272727,0.5,0.0958266553868333,0.0090574739085538,0.0408081492789013,1.0,0.1729263485023222,0.9566141061700552,0.9811175668025772
613,2021,13,150112,3.0,-1.1449252508503236,0.795909432900948,0.2874213669122349,0.060455265001168,0.0028972923642615,0.0352295382648081,1.0,0.1284639093105728,0.9892493154367542,0.9919235635739336
615,2021,13,150114,1.0,-1.8629528261009007,1.0,0.5,0.0511735860445842,0.0022379070686372,0.0170634950410566,1.0,0.0119843986009217,0.9376828792509266,1.0
619,2021,13,150101,9.0,-1.5039390384756122,0.7132799999999999,0.1481299269663154,0.0662824000179823,0.0022088922631599,0.0361069456727956,1.0,0.0417813927741635,0.9953070801877169,0.9926278156061192
620,2021,13,150116,1.0,-1.1449252508503236,0.9216522646733925,0.3331879904839231,0.0651282499879414,0.003196832400046,0.0227352388164221,1.0,0.0,0.8896479388889988,1.0
622,2021,13,150118,40.0,-0.9654183570376793,0.054776159659625,0.4809230050041402,0.0920453182778557,0.0164034326600692,0.0758945259130763,0.5927272727272727,0.1127368850981851,1.0,0.9946626351951796
625,2021,13,70107,3.0,-1.3244321446629679,0.8195697360002147,0.2779322486324977,0.0749858117853545,0.0063140833698004,0.033498351803214,1.0,0.1244637855707146,0.9456434098445934,0.969076140675962
630,2021,13,150125,25.0,-1.1449252508503236,0.2666412478336222,0.3629150875422202,0.1026851636898069,0.0085191923639274,0.0517090739008866,1.0,0.1627782413446506,0.9896064425720112,0.983015482655019
637,2021,13,150132,4.0,-1.3244321446629679,0.317197272231681,0.2917450549450548,0.1005075839567192,0.0309012796712972,0.1076295496922043,1.0,0.1285350008011722,0.9881404834534568,0.9903850686051716
639,2021,13,150134,1.0,-2.0424597199135452,0.91017244987187,0.3310210453594511,0.0603965378912392,0.0029533242395671,0.0229612802949938,1.0,0.2074211559732927,0.9829639039387792,0.9867631888464268
640,2021,13,150135,1.0,-0.9654183570376793,0.2849340522604728,0.430746431773114,0.0659864159617366,0.0068678082157524,0.0377902658149679,1.0,0.123713397621543,0.9778960946588084,0.9918410306273672
645,2021,13,150140,1.0,-2.0424597199135452,0.6883478260869564,0.3693683455302051,0.0528737857453842,0.0021863487174244,0.0351251766380036,1.0,0.0220113592681298,0.9230769230769232,0.9901826756660153
649,2021,13,150143,7.0,-1.5488157619287732,0.500270572457887,0.3333226837285002,0.0895228594496496,0.0413043544108512,0.0800403547790586,1.0,0.068886107923169,0.9979426304513156,0.991918559925108
651,2021,14,150103,5.0,-0.7859114632250349,0.782608695652174,0.4347826086956522,0.0729893315896989,0.0058531735896627,0.0699510497812718,1.0,0.1124382316291879,0.9731886110142908,0.990010877088749
656,2021,14,150106,8.0,-0.9654183570376793,0.4788114278687828,0.3333180459820429,0.0959422852656344,0.0103008407604996,0.0855954538030937,0.9263118194936376,0.0694745651033524,0.9278478769507388,0.9661619710266832
658,2021,14,150107,1.0,-0.9654183570376793,0.5189602287445075,0.3333180459820429,0.0664294673798862,0.0042320052791084,0.0700095973118512,0.9173553719008264,0.0869426888009067,0.9181976489510976,0.9557115711770464
660,2021,14,150109,1.0,-1.5039390384756122,0.5280807029799536,0.3333180459820429,0.0733927188653525,0.0103008407604996,0.0763146832522278,0.8760330578512397,0.0404677407655985,0.9929745868655117,0.9863921556536448
663,2021,14,150112,4.0,-0.9654183570376793,0.717059931198547,0.3333180459820429,0.0711370997004368,0.0037469080291125,0.0428440885181796,1.0,0.1313327614354385,0.988448721173193,0.991316268983483
669,2021,14,150101,5.0,-0.9654183570376793,0.68,0.16,0.0698341261746199,0.0026697943509868,0.0405974905379594,1.0,0.0431875873004623,0.994971264367816,0.992986505681818
671,2021,14,150117,1.0,-0.9654183570376793,1.0,0.0,0.0616905233994913,0.0006534481178048,0.0218599488420119,1.0,0.1432542384927522,0.9847056222940422,0.9972371634468288
672,2021,14,150118,46.0,-0.6064045694123906,0.0,0.5,0.0963197230103238,0.0167846300346053,0.0866549173844291,0.5454545454545454,0.1125066498204548,1.0,0.9949497767857142
675,2021,14,70107,1.0,-0.9654183570376793,0.8421052631578947,0.2631578947368421,0.0775799082853667,0.0069037289328248,0.0374583340505635,1.0,0.1264149413638596,0.9472935267857144,0.969796019785503
680,2021,14,150125,40.0,-1.1449252508503236,0.25,0.375,0.0964781068439706,0.0095080271918833,0.0577110199786681,1.0,0.1617964752408261,0.9900344488188976,0.9830094513156218
687,2021,14,150132,8.0,-0.6064045694123906,0.3461538461538461,0.2692307692307692,0.0938432972304786,0.0310741698012115,0.1098806686428226,1.0,0.1290970746191643,0.9876292565546494,0.9903327425335788
695,2021,14,150140,1.0,-1.3244321446629679,0.6521739130434783,0.3478260869565217,0.0590109215908306,0.0024401213364112,0.0392022060692005,1.0,0.023065959589397,0.9230769230769232,0.9900651588757172
699,2021,14,150143,8.0,-1.5039390384756122,0.6032346090953785,0.3333180459820429,0.0812125630621015,0.0289935673199317,0.0661164673873423,1.0,0.0709672638535716,0.9977729612836628,0.9919382303702732
701,2021,15,150103,12.0,-0.6064045694123906,0.7942546583850932,0.3798763072940628,0.0745627628371516,0.0062586567265659,0.0698398796284276,1.0,0.1107526206548242,0.9713242359864278,0.9899827590340928
706,2021,15,150106,6.0,-1.3244321446629679,0.550430533534385,0.3055056869442162,0.0965894911412298,0.0098342035075645,0.0846529228051494,0.9378255976977568,0.0700601681575832,0.930050033702817,0.96649333510362
708,2021,15,150107,2.0,-1.1449252508503236,0.5224712112679631,0.344508812997682,0.0679965804562461,0.0044650558903959,0.0713056041052783,0.9302685950413224,0.0885762700365079,0.920331542788006,0.9571786929847113
713,2021,15,150112,6.0,-0.42689767559974634,0.6139688994685003,0.346985724860499,0.0760350926757403,0.0044769829511153,0.0478336520317716,1.0,0.1341551579438325,0.9876638820000284,0.9907201149828068
719,2021,15,150101,2.0,-0.247390781787102,0.6869193426085459,0.2033198072984476,0.0697105360571737,0.0031700947990434,0.0423853943745028,1.0,0.0445909724316299,0.994643950214242,0.9933365183149452
722,2021,15,150118,71.0,-0.9654183570376793,0.0645292319593627,0.4945835938803839,0.0951091538493566,0.0164665843878972,0.0932197497433264,0.6164772727272727,0.1122879238473578,1.0,0.9952278562578118
725,2021,15,70107,1.0,-0.6064045694123906,0.8795006553664523,0.2115173813463054,0.0771394495756914,0.006759349808666,0.0390774330784627,1.0,0.1283461013133359,0.9489268035958124,0.9705092150101132
730,2021,15,150125,30.0,-0.7859114632250349,0.2969417886901874,0.384168490695693,0.0910376872669641,0.0090006459884067,0.0568122432981053,1.0,0.1608233478917091,0.9904580870836752,0.9830029634297538
737,2021,15,150132,7.0,-0.7859114632250349,0.4230176244131634,0.3265952797202797,0.0922284576494915,0.0303964468817787,0.1097158778546713,1.0,0.1296405122405322,0.9871290458049514,0.9902785510969488
749,2021,15,150143,15.0,-0.42689767559974634,0.7195734744116797,0.3103137572412986,0.0768239093678021,0.0269307873505815,0.0665910539406899,1.0,0.0730222544837333,0.9976035691691756,0.9919569175032896
751,2021,16,150103,10.0,-0.6064045694123906,0.8198757763975155,0.3192499543096983,0.0755425724987567,0.0065988288900543,0.0695462237148815,1.0,0.1091132080269964,0.9694923912400996,0.9899528843439004
756,2021,16,150106,7.0,-0.9654183570376793,0.6584576172855909,0.2725330773582288,0.0969359223668704,0.0088076015511072,0.0825793546096719,0.9631559097468188,0.0706524119939708,0.932224671576472,0.9668149340314603
758,2021,16,150107,6.0,-0.7859114632250349,0.5318287855666151,0.3690774040138872,0.0692208191400989,0.0049777672352285,0.0723038650713376,0.9586776859504134,0.0901921374117543,0.9224424694258778,0.958627770754196
765,2021,16,150114,1.0,-0.7859114632250349,0.8192468084812583,0.4572416841093004,0.0652376013953842,0.0039935495890425,0.0349018009606027,1.0,0.0148124775691025,0.939674516843179,1.0
769,2021,16,150101,1.0,-0.42689767559974634,0.7048515419705179,0.2819060475053606,0.0693695793532235,0.0037206536520015,0.0438347751870491,1.0,0.0459915387380332,0.9943251377269944,0.9936778325527248
772,2021,16,150118,86.0,-0.6064045694123906,0.209114988928671,0.4809266207180609,0.0923220639315777,0.0156768212057565,0.0990931333980119,0.7727272727272727,0.1120804120685191,1.0,0.995496966744424
780,2021,16,150125,13.0,-1.3244321446629679,0.4074488684709142,0.3929948167963523,0.0855055382287848,0.0078005132371278,0.0546531591639553,1.0,0.1598591120844422,0.9908770213677204,0.982996022845342
787,2021,16,150132,5.0,-0.9654183570376793,0.5521034672328353,0.4527972027972028,0.0909708630533466,0.0289054564590267,0.1092885780412731,1.0,0.1301655425858569,0.9866399512775884,0.9902225322745536
788,2021,16,150133,2.0,-1.1449252508503236,0.3118859056471209,0.2982379703594425,0.0577735707894405,0.0059094648603866,0.0280915283418123,1.0,0.0849372584822428,0.9678309952307396,0.9849598923244296
799,2021,16,150143,11.0,-0.9654183570376793,0.8499233249809818,0.2561078837710956,0.0730386480577526,0.0253571821261104,0.0678419344817074,1.0,0.0750497019619604,0.9974344548512885,0.991974646537289
801,2021,17,150103,12.0,-0.42689767559974634,0.8454968944099379,0.2701942763443977,0.0763654354154021,0.0068328682193699,0.0691298638581131,1.0,0.1075198648719565,0.9676939245599128,0.989921298028137
806,2021,17,150106,4.0,-0.7859114632250349,0.7569587493611972,0.2366234405886378,0.0972572837225567,0.00778099959465,0.0805057864141945,0.9884862217958807,0.0712512219676241,0.9343702075470912,0.9671268295892342
808,2021,17,150107,4.0,-1.1449252508503236,0.5452698917328918,0.3936361687958231,0.0700174789616171,0.005490478580061,0.0729457887336507,0.9870867768595042,0.0917893635473352,0.9245292818868454,0.960057734395908
810,2021,17,150109,1.0,-0.9654183570376793,0.721557652716402,0.3704102092562131,0.0725820266120123,0.0092571678153108,0.0786237431598474,0.9806301652892564,0.0336098859411954,0.9938603581164234,0.9881078465430124
811,2021,17,150110,1.0,-1.5039390384756122,0.1919847274960911,0.3849431818181817,0.0907352656935958,0.0077674849286152,0.0564312855052805,1.0,0.1688574344499979,0.958165111947096,0.9828113459214628
813,2021,17,150112,1.0,-1.5039390384756122,0.3484762396535998,0.3636277475124055,0.0829640859206586,0.0058975915459012,0.055721355889513,1.0,0.1396551451531645,0.9861424067672024,0.9895621085822254
818,2021,17,150115,1.0,-1.3244321446629679,1.0,0.125,0.0444235733730671,0.0010516105936318,0.0126442745592629,1.0,0.2665712103108468,0.9538286474563216,0.9632266542681052
819,2021,17,150101,1.0,-1.5039390384756122,0.7295578553904174,0.3572774154334904,0.0688559765353522,0.0041654236332737,0.0448064622250091,1.0,0.0473892767900394,0.9940148269060736,0.99401042744238
822,2021,17,150118,45.0,-1.1449252508503236,0.360254362544755,0.4629174483078185,0.0892253796046711,0.0146619011251584,0.1033185848344496,0.9289772727272728,0.1118838193735632,1.0,0.9957572013785032
830,2021,17,150125,8.0,-1.1449252508503236,0.5360438099074272,0.3996395364681913,0.0808741682173995,0.0063906452267731,0.0520396364375255,1.0,0.158904020606168,0.9912909156724096,0.9829886334103134
833,2021,17,150128,1.0,-1.5039390384756122,0.8946340664774012,0.3772870091806264,0.0675005612321931,0.0036517123063792,0.027853379200264,1.0,0.1010536855833358,0.980043227051294,0.9711156783319556
837,2021,17,150132,5.0,-1.6834459322882565,0.6734942197927327,0.5789991258741258,0.0901546247037452,0.0274144660362747,0.108699378029211,1.0,0.13067239457572,0.9861620730457856,0.9901647240456644
845,2021,17,150140,1.0,-1.1449252508503236,0.9456521739130436,0.5364906832298136,0.0466926443826449,0.0018006173367521,0.0265357480302632,1.0,0.0261456749281055,0.9230769230769232,0.989702538842746
849,2021,17,150143,5.0,-1.1449252508503236,0.9561201653336376,0.1928918656251411,0.0703821899818204,0.0243536751147352,0.0696097903318564,1.0,0.0770482284365598,0.997265619073435,0.9919914426854036
851,2021,18,150103,7.0,-0.7859114632250349,0.8571428571428571,0.25,0.0774680264279757,0.0069199528537547,0.068650581875602,1.0,0.105972462315956,0.9659296837304748,0.9898880450967676
856,2021,18,150106,2.0,-0.42689767559974634,0.8,0.2,0.097829279988289,0.0073143623417148,0.0795632554162502,1.0,0.0718565234336521,0.9364850585900624,0.967429083555972
858,2021,18,150107,3.0,-1.1449252508503236,0.5610314698592213,0.404797457108654,0.0703018554509737,0.0057235291913486,0.0731727836158391,1.0,0.0933670210639394,0.9265908331930404,0.9614675138202544
860,2021,18,150109,1.0,-1.3244321446629679,0.7573867174824109,0.3763787296744511,0.0724318984169493,0.0090270651509314,0.0791826267156235,1.0,0.0314940175153595,0.994148351220466,0.9886656735714892
863,2021,18,150112,1.0,0.47063679346347526,0.25,0.375,0.0840141378837471,0.0065160723842555,0.0570092416130884,1.0,0.1423300163750823,0.9854062396286968,0.989000696098044
872,2021,18,150118,49.0,-0.9654183570376793,0.4444444444444444,0.4444444444444444,0.087086027216321,0.0136683847830781,0.1049396205386034,1.0,0.1116978506521152,1.0,0.9960086532930004
873,2021,18,150119,1.0,-0.6064045694123906,0.4614613669159123,0.3763787296744511,0.0779832283750919,0.0114727842963162,0.0786835773145537,1.0,0.0681033913917041,1.0,1.0
880,2021,18,150125,4.0,0.11162300583818661,0.6372491835649733,0.4022632078774236,0.0781360857207751,0.0052540582460689,0.0497775439801232,1.0,0.157958326244029,0.9916994339991184,0.982980798972595
887,2021,18,150132,6.0,-0.42689767559974634,0.7272727272727273,0.6363636363636364,0.0898638538623888,0.026736743116842,0.108048886645068,1.0,0.1311612971307027,0.9856955111827684,0.9901051643895526
2611,2022,1,150110,2.0,-0.42689767559974634,1.0,0.4444444444444444,0.125,0.0,0.5,1.0,0.1479591836734694,0.971830985915493,0.9898477157360406
2711,2022,3,150110,1.0,-0.4694124662395837,0.920516129032258,0.4356129032258064,0.1194965171094435,0.0016928940193339,0.3444195589615059,1.0,0.1479650734282719,0.972600475530528,0.9897747480272336
2713,2022,3,150112,1.0,-0.3453036329576342,0.9556873498090884,0.1813258087357656,0.0304407496813673,0.001630495413017,0.007165832953164,0.9992088888888888,0.19344098504494,0.971905273593876,0.9785430364601648
2787,2022,4,150132,1.0,-0.753856660758491,0.1729747219413548,0.6431903461776222,0.0635504222545679,0.0054343521305536,0.1086563380278363,1.0,0.1385328962816562,0.9773988380053602,0.986874418811038
2813,2022,5,150112,1.0,-0.247390781787102,0.8872041631504068,0.2863543626815798,0.0774855446434803,0.004150351960407,0.0182403020625994,0.9979862626262628,0.1931267539368225,0.9721203168734052,0.9786831787882592
2861,2022,6,150110,2.0,-1.3244321446629679,0.7741935483870968,0.4193548387096774,0.096494261544964,0.0048093580094713,0.0361915155616939,1.0,0.1479945415764779,0.9738396173650516,0.9894096694578404
2911,2022,7,150110,1.0,-0.9654183570376793,0.8094758064516129,0.4365512333965844,0.0761078100782319,0.0040578958204914,0.0215364207663633,1.0,0.1480094015828382,0.9742721837140156,0.9892255700083172
2922,2022,7,150118,3.0,0.11162300583818661,0.6938728093750206,0.4623644790061858,0.1330963647650143,0.0132746221650709,0.0496724191589463,0.9910267857142856,0.1111813431765608,0.999492938701923,0.9994879380974055
2961,2022,8,150110,1.0,-1.3244321446629679,0.8870967741935485,0.4743833017077798,0.0435278213499651,0.0024046790047356,0.0100956062352328,1.0,0.14802658649241,0.9747132083876506,0.9890126675158438
2972,2022,8,150118,4.0,-0.9654183570376793,0.8185912944444567,0.5067979981412318,0.1952740362628656,0.0078664427644864,0.0240304321795252,0.9946825396825396,0.1117262397604939,0.9993186815250554,0.9993127070373742
2983,2022,8,150128,1.0,-1.5039390384756122,0.9905494126975412,0.1590536588492734,0.041725438349811,0.0022919630450389,0.0066560009400242,0.9991560630523482,0.0848536064122308,0.958075390197638,0.961274874453334
2987,2022,8,150132,1.0,-1.3244321446629679,0.4958206943040107,0.4746564624974244,0.0778598755476907,0.004193172940242,0.1920047501617705,1.0,0.1376474350903891,0.977922711330253,0.9862953196805004
3009,2022,9,150108,1.0,-0.9654183570376793,0.8958333333333333,0.4745701525359503,0.0887169717576021,0.0012669915604244,0.0067893240036278,1.0,0.1732762872922803,0.9735543256504496,0.9766799021427768
3015,2022,9,150114,2.0,-1.1449252508503236,0.970063896409855,0.2664354617123323,0.01467364990299,0.0007331223554233,0.0035936190128843,0.9999595564008024,0.0441411520128721,0.951970532395366,1.0
3022,2022,9,150118,2.0,-0.7859114632250349,0.9433097795138928,0.5512315172762777,0.2574517077607169,0.002458263363902,0.0064960584054352,0.9983382936507936,0.1123411681489009,0.9991216715976332,0.9991149547362566
3037,2022,9,150132,4.0,-0.7859114632250349,0.5726175429726996,0.4164472603930559,0.0605348474420358,0.0013103665438256,0.2787514844255533,1.0,0.1373283619193644,0.9781097288759798,0.9861308281170996
3051,2022,10,150103,1.0,-0.6064045694123906,0.9464674430355168,0.3829012233233266,0.084127130086328,0.0006498673740053,0.0351118541842564,0.9948811603991166,0.0849139553441925,0.9341898158382796,0.9871388039732976
3061,2022,10,150110,1.0,-1.1449252508503236,1.0,0.5294117647058824,0.0,0.0,0.0,1.0,0.148067466040546,0.9756175098031984,0.9885062140106368
3071,2022,10,150117,1.0,-1.6834459322882565,1.0,0.4285714285714285,0.1428571428571428,0.0,0.0,1.0,0.1233249308406281,0.9908335064495492,0.99883945094339
3072,2022,10,150118,6.0,-0.6064045694123906,1.0,0.5714285714285714,0.2857142857142857,0.0,0.0,1.0,0.1130224424573359,0.9989029923839682,0.9988958665225308
3087,2022,10,150132,3.0,-0.42689767559974634,0.6521739130434783,0.391304347826087,0.0454545454545454,0.0,0.3181818181818182,1.0,0.1369732887140743,0.9783169241389278,0.9859594253031704
3101,2022,11,150103,2.0,-0.7130082802972949,0.9467100818808952,0.4122579795892108,0.0874296344313919,0.0003848229055143,0.0295899200629246,0.9956809790867548,0.0860318615592449,0.9345965264904555,0.9870075348102576
3111,2022,11,150110,21.0,-1.0518476022067302,0.84375,0.5205072608024277,0.0107758620689655,0.0107758620689655,0.0377155172413793,1.0,0.1480909281887889,0.9760792250922428,0.9882155433021982
3121,2022,11,150117,1.0,-1.3111353377138828,0.9850049142246924,0.4257336342407579,0.1338619373503093,0.0017094435736677,0.0059177797464903,1.0,0.1225149545392532,0.9910711020699304,0.998587988265352
3122,2022,11,150118,1.0,-0.6064045694123906,0.8913043478260869,0.5598564952109614,0.2644294404489415,0.0339673913043478,0.0679347826086956,1.0,0.1137663768013528,0.9986637273483728,0.998656627724675
3127,2022,11,150123,2.0,-1.550477862797409,0.9793916637349764,0.3763648113684063,0.1220008675881623,0.0050275998364454,0.0153362239334877,1.0,0.0690623948055883,1.0,1.0
3130,2022,11,150125,1.0,-1.3111353377138828,0.9716171716337654,0.4301368019485519,0.1188729641828414,0.0023853840125391,0.0079937304075235,1.0,0.1282636050611997,1.0,0.9816170403485016
3137,2022,11,150132,11.0,-0.6130529728869332,0.7521739130434784,0.3968299932065217,0.0314933916502816,0.0078125,0.2905194805194805,1.0,0.136583757032028,0.978543176134807,0.9857815989696006
3140,2022,11,150135,1.0,-1.4454330878996386,0.3534855769230768,0.51875,0.0348276323586268,0.0,0.0,1.0,0.1161604828645982,0.9796043769912468,0.9894395156253092
3151,2022,12,150103,4.0,-0.9392832537239615,0.9474088597035668,0.4398189967487507,0.0946951439905324,0.0001795979614003,0.01752418762098,0.9974405801995584,0.0872383879201643,0.9350368117542216,0.9868710173017684
3156,2022,12,150106,2.0,-1.0026943951232747,0.3772999699667363,0.5389377662353662,0.1222344948127871,0.0249795556767071,0.1021863500068147,0.9285714285714286,0.1078559032509166,0.9780381352076212,0.97075652656323
